u,v,weight,max_capacity,time,damage
11,128,1.68,9999999,4.7,0
68,101,1.58,9999999,3.1,0
235,46,1.8,9999999,6.0,0
117,280,1.68,9999999,4.4,0
208,93,4.19,9999999,10.6,0
275,46,1.84,9999999,6.3,0
194,94,1.85,9999999,6.0,0
245,256,1.55,9999999,5.7,0
258,10,1.56,9999999,6.0,0
7,65,2.16,9999999,6.0,0
64,257,1.46,9999999,7.4,0
143,260,1.84,9999999,6.2,0
51,149,1.77,9999999,2.5,0
244,161,2.08,9999999,7.3,0
155,129,1.89,9999999,8.0,0
190,111,1.65,9999999,4.3,0
143,20,1.76,9999999,6.0,0
5,229,0.85,9999999,3.2,0
175,106,1.79,9999999,8.2,0
57,275,1.9,9999999,6.2,0
53,225,3.83,9999999,11.8,0
73,13,1.76,9999999,6.3,0
184,228,1.92,9999999,8.4,0
117,51,1.78,9999999,4.4,0
245,257,1.69,9999999,6.2,0
123,122,1.88,9999999,7.6,0
155,143,1.65,9999999,5.9,0
36,91,3.4,9999999,9.6,0
108,247,1.97,9999999,3.2,0
62,132,2.0,9999999,6.5,0
163,150,1.9,9999999,5.5,0
100,108,2.01,9999999,4.0,0
239,238,1.38,9999999,2.9,0
171,49,1.74,9999999,5.8,0
205,189,2.2,9999999,7.8,0
158,164,1.7,9999999,3.1,0
62,270,1.88,9999999,7.3,0
227,117,1.92,9999999,2.9,0
9,29,1.93,9999999,4.7,0
229,273,1.76,9999999,6.8,0
240,18,1.92,9999999,5.6,0
255,227,2.63,9999999,8.2,0
2,168,1.89,9999999,4.6,0
133,132,2.92,9999999,9.1,0
280,149,2.59,9999999,6.1,0
93,189,1.83,9999999,4.5,0
104,24,1.94,9999999,5.0,0
190,78,1.77,9999999,3.9,0
246,1,1.84,9999999,4.9,0
176,18,2.14,9999999,4.6,0
206,21,1.94,9999999,4.3,0
259,194,1.75,9999999,5.8,0
191,183,2.1,9999999,8.0,0
91,15,3.64,9999999,10.6,0
140,179,1.96,9999999,6.8,0
57,235,1.99,9999999,6.6,0
53,269,4.36,9999999,16.4,0
262,250,1.9,9999999,4.5,0
168,277,1.92,9999999,4.6,0
103,30,1.97,9999999,5.5,0
174,199,1.83,9999999,6.2,0
241,265,2.24,9999999,8.3,0
39,253,1.99,9999999,4.7,0
199,152,1.85,9999999,5.4,0
229,40,2.03,9999999,7.4,0
173,214,1.95,9999999,6.6,0
124,111,1.59,9999999,4.4,0
193,147,1.83,9999999,4.9,0
73,220,5.13,9999999,16.1,0
190,124,2.8,9999999,8.0,0
25,130,2.08,9999999,6.8,0
60,59,1.95,9999999,4.4,0
224,228,1.27,9999999,5.9,0
104,101,2.0,9999999,3.5,0
83,95,2.13,9999999,8.6,0
62,19,2.04,9999999,8.1,0
161,139,1.59,9999999,4.7,0
145,137,2.36,9999999,9.5,0
89,78,2.39,9999999,5.9,0
146,21,1.6,9999999,3.3,0
204,21,2.14,9999999,6.0,0
35,25,2.25,9999999,5.8,0
97,176,1.89,9999999,2.9,0
142,227,2.22,9999999,4.8,0
44,239,2.33,9999999,4.2,0
69,146,1.67,9999999,4.3,0
4,44,2.07,9999999,4.1,0
186,250,2.28,9999999,7.2,0
114,55,1.96,9999999,8.0,0
34,158,2.22,9999999,5.2,0
171,183,2.22,9999999,7.7,0
28,247,1.93,9999999,4.2,0
23,264,2.51,9999999,6.9,0
109,153,2.48,9999999,6.3,0
107,11,1.74,9999999,6.2,0
23,256,2.43,9999999,6.6,0
71,178,2.11,9999999,3.8,0
244,55,2.12,9999999,8.0,0
210,93,2.03,9999999,5.2,0
47,184,2.11,9999999,6.3,0
35,34,3.05,9999999,7.3,0
175,177,3.8,9999999,13.0,0
179,37,9.68,9999999,23.3,0
45,231,2.0,9999999,6.0,0
42,245,15.88,9999999,30.1,0
274,46,2.37,9999999,6.3,0
47,106,2.47,9999999,8.2,0
48,126,2.42,9999999,10.3,0
120,171,3.73,9999999,12.6,0
205,212,2.25,9999999,6.0,0
135,155,2.2,9999999,8.4,0
9,22,2.16,9999999,4.8,0
217,76,2.85,9999999,9.6,0
209,254,2.17,9999999,8.9,0
69,237,2.8,9999999,6.1,0
187,186,2.35,9999999,7.2,0
160,46,2.35,9999999,7.0,0
96,43,2.37,9999999,6.4,0
83,273,2.62,9999999,9.5,0
194,183,2.25,9999999,7.5,0
113,37,2.33,9999999,5.8,0
263,44,2.19,9999999,4.7,0
94,183,2.71,9999999,10.8,0
8,83,2.3,9999999,3.7,0
23,257,2.72,9999999,8.6,0
136,40,2.52,9999999,8.3,0
232,202,2.39,9999999,6.6,0
177,184,2.29,9999999,7.2,0
30,107,2.37,9999999,9.1,0
188,264,2.56,9999999,6.5,0
105,119,2.87,9999999,9.6,0
75,253,2.44,9999999,7.2,0
17,117,2.31,9999999,5.6,0
10,195,2.25,9999999,9.4,0
2,98,3.19,9999999,5.8,0
146,242,2.18,9999999,6.6,0
129,11,1.96,9999999,7.2,0
78,187,2.38,9999999,6.1,0
57,170,9.43,9999999,21.9,0
210,189,3.42,9999999,8.8,0
53,184,5.64,9999999,12.4,0
246,46,2.94,9999999,9.9,0
160,169,2.57,9999999,4.1,0
277,98,3.22,9999999,5.9,0
49,183,2.04,9999999,5.6,0
205,265,3.12,9999999,11.7,0
208,189,2.37,9999999,6.2,0
262,187,2.41,9999999,7.7,0
114,9,3.34,9999999,7.6,0
252,194,2.7,9999999,6.9,0
68,150,2.61,9999999,5.2,0
136,5,2.27,9999999,7.6,0
15,225,2.35,9999999,6.8,0
114,139,2.65,9999999,7.9,0
73,265,2.47,9999999,8.9,0
82,172,2.35,9999999,5.0,0
63,97,3.25,9999999,5.3,0
272,63,2.39,9999999,6.7,0
9,55,2.46,9999999,6.6,0
23,248,2.32,9999999,6.1,0
136,95,2.35,9999999,8.5,0
87,234,2.03,9999999,2.5,0
137,44,2.56,9999999,7.0,0
241,210,2.94,9999999,9.8,0
206,86,2.55,9999999,6.0,0
169,170,2.78,9999999,7.9,0
133,156,2.61,9999999,10.7,0
